성별,연령,학교 운동장,공원,약수터_등산로,사설 체력단련장,공터,상기의 체육시설에 속하지 않은 시설,종합스포츠센터,고수부지,사설 종합스포츠시설,사설 골프장 및 골프연습장,사설 수영장,운동장,학교 체육관,실내체육관,사설 체육도장,수영장,축구장,테니스장,게이트볼장,노인복지시설,경로당,직장체육시설,골프연습장,야구장,학교 수영장,청소년수련관,유적지 공원,청소년수련원,사설 승마장,인라인_롤러스케이트장,YMCA의 운동시설,교회 등 종교시설의 체육시설,사설 빙상장,수상레저
남,10대,52.38,6.92,0.52,5.17,2.79,1.55,1.34,1.65,1.76,0.0,1.24,3.31,5.37,1.96,7.44,0.31,2.79,0.0,0.0,0.0,0.31,0.0,0.0,1.03,0.21,0.0,0.0,0.41,0.0,0.52,0.52,0.52,0.0,0.0
남,20대,26.14,5.58,2.27,28.62,4.65,4.65,4.44,4.34,2.48,0.31,2.17,3.82,1.24,0.72,2.38,1.34,3.0,0.41,0.0,0.0,0.0,0.21,0.0,0.21,0.0,0.0,0.52,0.0,0.31,0.0,0.0,0.21,0.0,0.0
남,30대,16.44,6.1,10.86,22.75,5.07,6.72,3.52,4.03,2.48,4.55,1.14,3.72,2.28,1.24,1.14,1.03,1.96,0.93,0.0,0.0,0.21,1.03,0.72,1.14,0.0,0.0,0.0,0.21,0.0,0.0,0.52,0.0,0.0,0.21
남,40대,21.16,8.88,16.31,9.49,4.75,8.26,3.1,3.2,0.93,7.74,0.62,2.06,1.96,5.06,0.41,0.52,1.55,1.03,0.0,0.0,0.41,0.41,0.41,0.41,0.1,0.41,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0
남,50대,12.83,13.36,26.41,8.06,4.03,12.73,1.59,3.08,2.86,4.14,0.95,0.74,1.7,1.59,0.32,1.7,0.32,0.21,0.85,0.32,0.21,0.32,0.85,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.42,0.0
남,60대,11.56,23.02,23.33,4.27,7.4,13.23,1.67,5.83,0.73,0.21,0.0,1.25,0.0,0.94,0.83,0.0,0.0,1.88,2.4,0.94,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0
남,70대이상,13.92,21.08,16.17,2.56,12.38,9.21,0.82,4.61,0.2,0.82,0.0,0.51,0.0,1.23,0.0,0.0,0.51,0.41,6.55,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,10대,26.79,16.51,2.49,5.09,14.95,2.18,5.4,2.28,2.91,0.0,3.95,2.7,5.09,0.73,3.84,2.39,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.42,0.83,0.0,0.0,0.0,0.0,0.0
여,20대,11.05,14.0,6.67,29.21,6.24,2.95,6.02,0.88,11.6,0.44,3.94,0.55,1.09,1.75,0.55,0.88,0.33,0.88,0.0,0.0,0.0,0.66,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,30대,15.82,13.87,10.08,16.47,8.99,2.71,6.39,3.25,9.53,0.54,4.66,1.3,0.76,1.08,1.19,0.98,0.33,0.22,0.0,0.0,0.0,0.0,0.0,0.33,0.65,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,40대,14.21,14.86,14.97,9.65,7.59,7.7,7.27,3.69,3.8,2.93,1.84,0.98,2.6,2.49,0.0,1.84,0.0,0.65,0.0,0.0,0.65,0.54,0.43,0.0,0.22,0.43,0.0,0.0,0.0,0.43,0.0,0.22,0.0,0.0
여,50대,14.85,16.24,15.71,5.56,8.87,9.29,7.26,3.31,4.7,1.18,4.17,1.18,0.85,1.5,0.0,1.92,0.0,0.75,0.0,0.64,0.21,0.43,0.64,0.0,0.21,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,60대,13.33,24.13,15.74,1.26,11.02,8.81,5.14,4.41,1.68,0.84,5.88,1.47,0.0,0.63,0.0,1.57,0.0,0.31,0.94,1.26,0.94,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,70대이상,17.84,20.54,10.37,0.0,21.06,5.81,2.8,3.32,0.62,0.0,0.21,1.97,0.73,0.73,0.41,0.0,0.31,0.0,3.63,5.71,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
